key,value,trudodni_rate,rest_drain_per_norm_day
# возьмёт больше граммов. STUB, число boss'а; 0 выключает правило
harvest_snow_last_days,3,,
# --- аврал на работе (Правила юнитов §7; boss seq 103) ------------------------
# ступень аврала прибавляет к выработке столько процентов; ступеней пять (+25 %)
rush_step_percent,5,,
# день под авралом стоит семье работника столько довольства за ступень; STUB,
# число boss'а («чем выше ступень и чем чаще», чисел в дизайне нет)
rush_satisfaction_per_step_day,0.2,,
# --- рабочий выходной (Время §9, Отдых §6, вопрос 107) -----------------------
# отдых за отменённый выходной сверх рабочего дня: столько × номер в серии
day_off_cancel_rest_per_series,4,,
# отработанный выходной стоит семье работника столько довольства; STUB
# (Время §9: «падает — заметно»)
day_off_cancel_satisfaction,1,,
# --- виды работ -----------------------------------------------------------
# разряд ручных работ Эпохи I — 1.0 (Оплата труда §2); слив отдыха —
# суточные дельты решения 107: тяжёлая работа −4, обычная −2
plowing,,1,4
harrowing,,1,2
sowing,,1,2
harvest,,1,4
herd_care,,1,2
# a day on a construction site (task A2): ordinary work, ordinary drain
construction,,1,2
# порубка (Древесина §8а): тяжёлая работа — валка топором и пилой, разделка,
# погрузка брёвен; ставка как у пахоты (boss, 2026-09-13)
felling,,1,4
# работа на перерабатывающем юните — один род на все (лесопилка, пекарня,
# коптильня): обычная работа, ставка 1, слив 2 (boss, 2026-09-13). Тяжесть по
# юниту внутри рода — STUB до полировки: двуручная пила тяжелее печи
unit_work,,1,2
# добыча глины, камня, песка (Строительство §3): тяжёлая работа — кирка, лопата,
# погрузка; ставка как у порубки (boss, посылки 270 и 276)
extraction,,1,4
# посадка леса зоной (Древесина; boss seq 17 и 21): лопата и саженцы, пешком;
# обычная работа, ставка 1, слив 2 — STUB, как у порубки до её ставки
planting,,1,2
# дорожная работа (Дороги §9, сдача 7): отсыпка гравийки, асфальт, снос
# мощёного куска — тяжёлая работа, лопата и тачка, как добыча; ставка 1,
# слив 4 — STUB (boss, звонок 26.09.2026 после хода [64] треда эпохи I).
# Работы нет до 7e
road_work,,1,4
