# generated from db/design.db — do not edit by hand
# grain is per culture (you cannot sow oats with rye); storage is shared
# measure is the unit every OTHER table writes this resource in: recipes, start stock, yields, orders
# kg_per_unit: kilograms in ONE such unit, filled for every row on purpose. grams = amount * kg_per_unit * 1000, one rule, no special case per measure. 1000 for a tonne, 1 for a kilogram, the density for a litre or a cubic metre, the mass of one item for a piece (construction design §1, boss ruling 2026-08-31)
# feed_value in fodder units per kg; empty means not a feed
# spoil_days: shelf life in GAME days at a plain store, from the spoilage class, not from the row. Empty means it does not spoil (class none) or the rule is its own (class special, see the design note). Spoilage runs at the END of the day, AFTER the eaters have eaten: what was consumed cannot rot
# cellar, ice house, cold and processing multiply the term (transport design 10). None of those exist in the slice, so the multiplier is 1 everywhere for now
# kcal_per_gram: food, plus grain as the grain-equivalent reference
# subtitle is the design gloss: what the row covers and what it does not
# theft: how readily the thing is stolen from a store -- eager, some, none; empty means not yet described, which is NOT none. Exported 2026-09-19 for core's store emptying (registry 214/233): the cargo order and the samogon leak read one home instead of a list in code
key,title,measure,kg_per_unit,feed_value,kcal_per_gram,spoilage,spoil_days,subtitle,theft
lime,Известь,t,1000,,,none,,,none
gravel,Щебень,t,1000,,,none,,,none
mineral_fertilizer,Минеральные удобрения,t,1000,,,none,,,none
paint,Краска,l,1.3,,,none,,,none
spare_part,Запчасти,pcs,5,,,none,,"единая позиция, от подшипника до провода: прежнее деление на механические и электрические детали отменено",eager
industrial_equipment,Промышленное оборудование,pcs,300,,,none,,"станки, моторы, насосы",none
consumer_goods,Товары первой необходимости (промтовары),bundle,10,,,none,,"бандл всего, что не определено отдельной строкой: посуда, мыло, спички, галантерея, зонты, книги. Состав не расписываем — он свой в каждой эпохе, и цену бандла эпоха меняет (P54f). В Эпохе I потребление минимально",eager
factory_textile,Фабричное сырьё модных цехов,pcs,20,,,none,,"ткань, синтетика, фурнитура, подошвенная резина (Производственные юниты §3)",some
grocery,Бакалея,kg,1,,3.5,very_slow,2400,"агрегат: соль, сахар, специи, чай",some
container,Тара,pcs,10,,,none,,,none
gun_and_tackle,Ружья и снасти,pcs,4,,,none,,,none
school_uniform,Школьная форма,pcs,1,,,none,,,some
light_bulb,Лампочка,pcs,0.05,,,none,,,some
wire,Провод,kg,1,,,none,,,some
watch,Часы,pcs,0.1,,,none,,,eager
bicycle,Велосипед,pcs,15,,,none,,,eager
radio,Радиоприёмник,pcs,6,,,none,,,eager
television,Телевизор,pcs,30,,,none,,,some
refrigerator,Холодильник,pcs,60,,,none,,,some
washing_machine,Стиральная машина,pcs,40,,,none,,,some
carpet,Ковёр,pcs,15,,,none,,,eager
furniture_set,Мебельный гарнитур,pcs,200,,,none,,,some
flour,Мука,t,1000,,3.4,slow,600,,eager
groats,Крупы,t,1000,,3.4,slow,600,"агрегат: ячневая, гречневая, гороховая",eager
bread,Хлеб,t,1000,,2.2,fast,6,,some
smoked_meat,Копчёности,t,1000,,3,very_slow,2400,,eager
smoked_fish,Копчёная рыба,t,1000,,2,very_slow,2400,,eager
sauerkraut,Квашеная капуста,t,1000,,0.2,slow,600,,some
sausage,Колбасы,t,1000,,2.8,slow,600,Эпоха II,eager
pastry,Выпечка,t,1000,,3.4,fast,6,,some
cloth,Своя ткань и пряжа,pcs,15,,,none,,,some
leather,Кожа,pcs,8,,,very_slow,2400,,some
dyed_cloth,Крашеная ткань,pcs,15,,,none,,Эпоха II,some
dyed_leather,Крашеная кожа,pcs,8,,,very_slow,2400,Эпоха II,some
clothes_summer,Одежда летняя,pcs,0.8,,,none,,,eager
clothes_midseason,Одежда демисезонная,pcs,1.5,,,none,,Эпоха II,eager
clothes_winter,Одежда зимняя,pcs,3,,,none,,,eager
shoes_summer,Обувь летняя,pcs,0.6,,,none,,,eager
shoes_midseason,Обувь демисезонная (сапоги),pcs,1.8,,,none,,,eager
shoes_winter,Обувь зимняя (валенки),pcs,1.2,,,none,,,eager
dyed_clothes_summer,Крашеная одежда летняя,pcs,0.8,,,none,,Эпоха II,eager
dyed_clothes_midseason,Крашеная одежда демисезонная,pcs,1.5,,,none,,Эпоха II,eager
dyed_clothes_winter,Крашеная одежда зимняя,pcs,3,,,none,,Эпоха II,eager
dyed_shoes_midseason,Крашеная обувь (сапоги),pcs,1.8,,,none,,Эпоха II,eager
fashion_clothes_summer,Модная одежда летняя,pcs,0.8,,,none,,,eager
fashion_clothes_midseason,Модная одежда демисезонная,pcs,1.5,,,none,,,eager
fashion_clothes_winter,Модная одежда зимняя,pcs,3,,,none,,,eager
fashion_shoes_summer,Модная обувь летняя,pcs,0.6,,,none,,,eager
fashion_shoes_midseason,Модная обувь демисезонная,pcs,1.8,,,none,,,eager
fashion_shoes_winter,Модная обувь зимняя,pcs,1.2,,,none,,,eager
fur_coat,Шубы,pcs,4,,,none,,,eager
wine,Вино,l,0.99,,0.8,very_slow,2400,,eager
beer,Пиво,l,1.01,,0.45,medium,120,,eager
spirits,Крепкий алкоголь,l,0.94,,,none,,самогон,
woodwork,Мебель и столярные изделия,pcs,30,,,none,,"рамы, двери, ульи, телеги",none
tool,Инструмент,pcs,3,,,none,,,some
