key,value,kcal_per_gram,category,issue_kg_per_trudoden,ration_kg_per_day,issue_share_of_stock
health_recovery_satiety_threshold,70,,,,,
health_recovery_per_week,0.25,,,,,
# --- выдача и паёк (Оплата труда §3, §5, §7) ------------------------------
# «раз в месяц» — умолчание авто-правила дизайна; месяц = 4 суток
distribution_period_days,4,,,,,
# ASSUMPTION как режим умолчания: игрока в фазе 1 нет, а без пайка
# «голодает при плохом ведении» и «не включили паёк» неразличимы
ration_auto,1,,,,,
ration_satiety_threshold,25,,,,,
# семенной фонд неприкосновенен для авто-выдачи (Ресурсы §2)
reserve_seed_fund,1,,,,,
# --- время на ЛПХ и огород (Личные хозяйства §1) --------------------------
# отдача огорода = min(1, часы / 4.0) — кривая по собственным примерам
# дизайна: 7.5 ч → 100%, 2.7 → 68%, 1.2 → 30%, 0.5 → 12%
plot_full_yield_hours,4,,,,,
# ASSUMPTION: остаток дня того, кто остался дома (двор без колхозника)
plot_no_worker_base_hours,5,,,,,
plot_elders_hours,1.3,,,,,
plot_elder_from_bio_years,60,,,,,
plot_schoolchild_from_bio_years,7,,,,,
plot_schoolchild_to_bio_years,16,,,,,
plot_schoolchild_hours,0.4,,,,,
plot_schoolchild_summer_hours,0.6,,,,,
plot_schoolchild_hours_cap,1.6,,,,,
plot_summer_from_month,6,,,,,
plot_summer_to_month,8,,,,,
# фактор заведён и молчит: источника алкоголизма в фазе 1 нет
plot_drinker_hours,1,,,,,
plot_drinker_alcoholism_threshold,50,,,,,
plot_sickness_hours,0.8,,,,,
plot_sickness_health_threshold,40,,,,,
# урожай двора за год при полной отдаче (Личные хозяйства §1: 10+10 соток)
potato_kg_per_yard_year,900,,,,,
vegetables_kg_per_yard_year,1200,,,,,
# сено, которое двор косит СЕБЕ: единственный корм, который он не получает
# от колхоза (Личные хозяйства §2, ответ boss 31.08.2026). Косить — работа
# не колхозная, поэтому двор без колхозных работников коз всё равно держит.
# Курам, уткам и свинье двора со склада не идёт ничего вовсе: они на
# самокорме (`household_self_fed`, ответ boss на Q1).
#
# КАНОН ГОВОРИТ «около двух тонн на зиму», и ровно две тонны у модели не
# сходятся: две козы едят 2 кормовые единицы в реальные сутки каждая — 1460
# единиц за реальный год, — выпас мая-сентября закрывает 80 % пяти месяцев,
# остаётся 973 единицы, а сено несёт 0.45 единицы на килограмм. Это 2163 кг.
# Ставлю 2200: это те же «около двух тонн», и при них двор, ухаживающий за
# участком, зимует без падежа, а забросивший — нет. Отвязать это от ухода
# нельзя: в том и смысл часов ЛПХ
hay_kg_per_yard_year,2200,,,,,
hay_harvest_month,8,,,,,
growing_from_month,4,,,,,
growing_to_month,9,,,,,
garden_harvest_month,9,,,,,
# рыба сетями — константа эпохи в кладовую, без юнита и наряда
# (Личные хозяйства §2). Подспорье СВЕРХ покрытия, в него не входит.
# Снижено вдвое 31.08.2026: сложение показало, что канонные 59% ЛПХ плюс
# 31% молока дают 90%, а рыба добавляла сверху ещё двенадцать и выводила
# снабжение за сто. Довод boss не «чтобы сошлось», а его же предел озера:
# личная удочка и сеть его не достигают, достигает артель — а она во второй
# эпохе. Четыреста кг на двор — уже промысел, двести — подспорье. P22m
fish_kg_per_yard_year_epoch_1,200,,,,,
fish_kg_per_yard_year_epoch_2,125,,,,,
fish_kg_per_yard_year_epoch_3,50,,,,,
#
# --- съедобные ресурсы ----------------------------------------------------
# kcal_per_gram — якоря v4 (зерно 3.3, картофель 0.77, овощи 0.25,
# молоко 0.64, рыба 0.9); мясо, яйцо и мёд — ASSUMPTION по тем же порядкам.
# В базе дизайна калорийность пока ступень, а не число, поэтому таблица
# рукописная (ответ boss 30.08.2026, тред design-db-source §5).
#
# issue_kg_per_trudoden — «связка» месячной выдачи: нормы председателя по
# позициям.
#
# ВЫВОДИТСЯ ОТ ПРОИЗВЕДЁННОГО, А НЕ ОТ РАЗРЫВА — вопрос 171, ответ boss
# 31.08.2026 (Оплата труда §3). Прежняя связка считалась как «потребность
# села минус ЛПХ ÷ трудодни», и это оказалось ловушкой: такая связка даёт
# ровно сто процентов покрытия ПРИ ЛЮБОЙ урожайности, любом падеже и любой
# ошибке председателя — арифметика подстроится. Неурожай перестал бы быть
# виден вовсе, а прогон существует ровно затем, чтобы его видеть.
#
# Теперь норма — рычаг председателя (Оплата труда §4: раздать щедро значит
# остаться без плана, раздать скупо — уронить сытость), а потолок ей ставит
# то, что на складе свободно СВЕРХ ПЛАНА, СЕМЕННОГО ФОНДА И КОРМОВ. Сколько
# процентов нормы питания из этого выйдет — столько и выйдет: хороший год
# кормит с запасом, плохой впроголодь.
#
# НОРМЫ ПОДОБРАНЫ ЗАДАЧЕЙ Ф4 (31.08.2026) ПОД ПРОИЗВЕДЁННОЕ, и вот арифметика.
# Канон стола Эпохи I (Личные хозяйства §1, ответ boss в Ф3): двор даёт 59 %,
# половина колхозного надоя — ещё почти треть, до 90 %, всё остальное вместе
# с хлебом — около десятой доли. То есть КОЛХОЗНАЯ ДОЛЯ СТОЛА — МОЛОКО.
#   половина надоя первого года   22 т ÷ 686 трудодней = 32 кг/трудодень
#   → молоко 30: с запасом под неурожайный год, доля 0.5 не даст взять больше
#   хлеб ~10 % стола: 2.2 т зерн. экв. ÷ 686 = 3.2 кг — овёс 3 + ячмень 2 как
#   и было (потолок ставит свободный остаток сверх плана и семян)
#   картофель 5, овощи 5 — подспорье: стол картошкой кормит двор, а не колхоз
# Итого ~12 кг зерн. экв. на трудодень: 8.5 т в первый год — 38 % потребности
# 92 едоков, плюс 50 % от дворов — канонные ~90 %. Дальше трудодней столько же,
# а едоков в пятнадцать раз больше: связка становится подспорьем, и это не
# ручка, а предел фазы без распашки (69-reconciliation.md §8).
#
# issue_share_of_stock — какую долю свободного остатка связка вообще может
# взять. У молока половина (канон: «половина надоя идёт на выдачу»,
# Личные хозяйства §1), у остального — всё. Паёк этой доли не знает: он
# отвечает на голод, и придерживать молоко от голодной семьи значило бы
# ровно тот «полный амбар при голодном селе», который правило и запрещает.
#
# ration_kg_per_day — минимальный паёк на едока в игровые сутки, мимо
# трудодней (Оплата труда §5: хлеб, картошка, немного молока). ~2.7 кг
# зерн. экв. против взрослой нормы 6.25 — это «не умереть», а не «поесть».
rye,,3.3,bread,,,
wheat,,3.3,bread,,,
oat,,3.3,bread,3,2,
barley,,3.3,bread,2,,
buckwheat,,3.3,bread,,,
pea,,3.3,bread,,,
potato,,0.77,potato,5,3,
vegetables,,0.25,vegetables,5,,
milk,,0.64,dairy,30,1,0.5
meat,,2.5,meat_and_egg,,,
egg,,1.4,meat_and_egg,,,
fish,,0.9,fish,,,
honey,,3,sweet,,,
# СЕНА В СВЯЗКЕ НЕТ: двор косит его себе сам временем ЛПХ (решение boss
# 31.08.2026, ключ hay_kg_per_yard_year выше). Строка стояла здесь с тех
# пор, когда корм двора шёл через колхозную выдачу, и после решения стала
# двойной выдачей: прогон показал 241 т сена, лежащего по кладовым без
# едока. Косить — работа не колхозная, и колхоз за неё не платит
hay,,,,,,
